Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,MCL_1,LEF1,IAPs,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
Casp9,-0.11271032402848453,-0.14855618280796343,-0.5087004998284355,0.09081236226624734,-0.6237769954166158,-0.2961968746079978,-0.1101363611642584,0.5051815321479697,-0.40600286245415224,0.3141260826993026,0.2200149032547889,-0.3711065682496412,-0.4120468019126511,-0.02668354002755028,0.3575918587475873,0.1101363611642584,0.08221241088485211,-0.5038583196869201,-0.09491453862750354,-0.48110279707213877,0.11735866523378347,0.11165311781325249,0.2548749693254262,0.5051815321479697,0.06928272218666055,0.386971208740681,0.007954181275657534,0.32768593103148536,0.15209058880178955,0.440628004794677,-0.19839689043759454,0.2720950055152254,0.09996248811075732,0.207926301818299,-0.11942437098781866,0.8119223837955847,0.8873494610062072,0.9653707791266095,0.25200763539109444,0.48381435652927685,0.48381435652927685,0.4695206089756791,-0.46506482423910933,-0.5067879457446212,0.52008518118446,0.52008518118446,0.8894433966826248,-0.13450360143056736
Casp8,-0.11235565416316932,-0.14913131387552397,-0.5149203728499208,0.09088302392429237,-0.6507976320590703,-0.3000472798842103,-0.11007189855809738,0.6179347975351392,-0.4116009745984813,0.3149628727136161,0.22039787954843484,-0.3757254413898209,-0.4219013735185834,-0.02441432157605212,0.36175714412448307,0.11007189855809738,0.0815962872053912,-0.5159566270686086,-0.09454250415183622,-0.5901825742907356,0.11677527898721918,0.11480963149366721,0.2576942172874652,0.6179347975351392,0.058195963934541725,0.3915377003369352,0.007936583440630578,0.329391785601001,0.15272373344238693,0.4428893492209555,-0.19907098044249893,0.27264486878860295,0.09919537205596626,0.20798877639093688,-0.1200259286779934,0.8215078709197001,0.8896885761806719,0.9706136576138966,0.2772312809782785,0.5000474409647625,0.5000474409647625,0.587618534824466,-0.48317847084084475,-0.5258441213493691,0.6357618069593263,0.6357618069593263,0.9915096389468984,-0.134193883858447
Casp3,-0.1264124223061323,-0.16471972885305325,-0.5206997171209347,0.096837423446913,-0.656458152259133,-0.3118227377592847,-0.12727103413852167,0.52008518118446,-0.4182715419214465,0.32656241348118936,0.231324141730226,-0.3823333633618625,-0.43457069924420405,-0.03417414964311107,0.3695255939485934,0.12727103413852167,0.09402919302495988,-0.5131992510126581,-0.11005094279879588,-0.5051815321479697,0.12998083831469337,0.1056119736235043,0.25920413555335464,0.52008518118446,0.07977841380121915,0.4023314843468821,0.012649570531299911,0.3425081025740277,0.1543708038795862,0.4554351862841,-0.20582344924860202,0.2867629508809967,0.11735866523378347,0.21920180366659808,-0.1181216491497515,0.8465102257546061,0.9653707791266095,0.9245096296105121,0.24396254217636937,0.49203676095357196,0.49203676095357196,0.4762034653823334,-0.4686736210248991,-0.5115163130576366,0.5296669591154877,0.5296669591154877,0.9702090362717939,-0.14822202323016997
Casp2,-0.029567099567099565,-0.0819631723937944,-0.4500211059518785,0.03403093721565059,-0.48753246753246754,-0.25798964768742694,-0.03214285714285714,0.7979139504563234,-0.33580570881515637,0.24273897575908002,0.17083550460309188,-0.3297525022460276,-0.31572190568553765,0.11323519884684216,0.290390610673024,0.03214285714285714,0.02673344116643086,-0.5652969121140143,-0.024444444444444442,-0.7,-0.036912239865031324,0.19700743070173216,0.2632582918815734,0.7979139504563234,-0.13484527870419194,0.29532289400707395,-0.06243184987954862,0.24450179457654056,0.12560296846011132,0.3585788035226237,-0.1381294964028777,0.19464872944693573,-0.07015437392795883,0.08840628642353937,-0.14417336394948335,0.7,0.5,0.6,0.4049490111359968,0.8855807401715969,0.8855807401715969,0.9842233715309469,-0.854625718476394,-0.8649025981851046,0.8904292437272842,0.8904292437272842,0.5,-0.03415326395458845
BIM,-0.05084430856067732,-0.10047402912319534,-0.48757458971370526,0.05380466425522745,-0.5518749628573126,-0.27700258397932814,-0.05118737195008381,0.8882062832778844,-0.37144419894087,0.27012478862058276,0.1854645823518017,-0.35810876493681215,-0.3504798044102857,0.07287749287749287,0.32571142956693533,0.05118737195008381,0.038935578022507064,-0.5083247562590928,-0.041245326430831175,-0.7971731448763251,0.013547968527871707,0.18713379061958743,0.27341140036944783,0.8882062832778844,-0.08759766421868627,0.33617751936841406,-0.034409591867950805,0.27570527743861073,0.14198642523309615,0.3986442441054091,-0.16345777659260388,0.22013419010738047,-0.01907020110001968,0.12963765466139776,-0.14048280138242436,0.798422090729783,0.6,0.7,0.4084509218758507,0.8549012484532247,0.8549012484532247,0.8519848380894259,-0.6959053533093141,-0.816538541502908,0.9676335838061025,0.9676335838061025,0.6,-0.06112402483680943
BIK,-0.05084430856067732,-0.10047402912319534,-0.48757458971370526,0.05380466425522745,-0.5518749628573126,-0.27700258397932814,-0.05118737195008381,0.8882062832778844,-0.37144419894087,0.27012478862058276,0.1854645823518017,-0.35810876493681215,-0.3504798044102857,0.07287749287749287,0.32571142956693533,0.05118737195008381,0.038935578022507064,-0.5083247562590928,-0.041245326430831175,-0.7971731448763251,0.013547968527871707,0.18713379061958743,0.27341140036944783,0.8882062832778844,-0.08759766421868627,0.33617751936841406,-0.034409591867950805,0.27570527743861073,0.14198642523309615,0.3986442441054091,-0.16345777659260388,0.22013419010738047,-0.01907020110001968,0.12963765466139776,-0.14048280138242436,0.798422090729783,0.6,0.7,0.4084509218758507,0.8549012484532247,0.8549012484532247,0.8519848380894259,-0.6959053533093141,-0.816538541502908,0.9676335838061025,0.9676335838061025,0.6,-0.06112402483680943
BID,-0.057216677063838636,-0.09433009559050262,-0.44626794561587324,0.05448683086007302,-0.5026839826839826,-0.23894444681692564,-0.05235030456269394,0.4795329009190713,-0.3399008952578588,0.253065272220288,0.1706237424547284,-0.32074524569557483,-0.3102956763720218,0.02721364886937509,0.29775267962932095,0.05235030456269394,0.04402418593972528,-0.45523931311655097,-0.045403511038614966,-0.3950310559006211,0.04123056035385002,0.14586404970610897,0.23976602332736946,0.4795329009190713,-5.469752234020409e-4,0.31099739627367445,-0.02647417576072522,0.2577520917711057,0.1324804859736971,0.3703685884271918,-0.1545227246786641,0.20280939599350956,0.007960508146920736,0.14220859514418507,-0.12282583683543555,0.7967280163599182,0.6,0.7,0.2943434343434343,0.42551218182200473,0.42551218182200473,0.41835829469208397,-0.4430852117187955,-0.4731231979092712,0.5456934215264465,0.5456934215264465,0.6,-0.06989963000604478
BCLXL,0.04519252424514993,0.10463344274630122,0.5054490162904353,-0.05288321331044539,0.5630631861874174,0.3004427018570549,0.05004679962560299,-0.891729879828205,0.3901536772843115,-0.28893749799155566,-0.2056152668262033,0.38254242151587575,0.3717446191225492,-0.10810298351246941,-0.3437178352516022,-0.05004679962560299,-0.035073793415621245,0.5259150299415954,0.03725490196078431,0.7983471074380166,0.01598131502064813,-0.21640767580824422,-0.2972206470006599,-0.891729879828205,0.12942582519334178,-0.3521846691377005,0.04836423171652729,-0.2928039213645229,-0.1525356869883285,-0.41468492349129066,0.1729134104812805,-0.2415656958691978,0.05044977168949773,-0.1192139474818567,0.1628126742576661,-0.7990903922683342,-0.6,-0.7,-0.4349015680225833,-0.9651740920580995,-0.9651740920580995,-0.9628162976205112,0.8139047136364953,0.9315324614048246,-0.9754481805873715,-0.9754481805873715,-0.6,0.05372998697806882
BCL2,0.04519252424514993,0.10463344274630122,0.5054490162904353,-0.05288321331044539,0.5630631861874174,0.3004427018570549,0.05004679962560299,-0.891729879828205,0.3901536772843115,-0.28893749799155566,-0.2056152668262033,0.38254242151587575,0.3717446191225492,-0.10810298351246941,-0.3437178352516022,-0.05004679962560299,-0.035073793415621245,0.5259150299415954,0.03725490196078431,0.7983471074380166,0.01598131502064813,-0.21640767580824422,-0.2972206470006599,-0.891729879828205,0.12942582519334178,-0.3521846691377005,0.04836423171652729,-0.2928039213645229,-0.1525356869883285,-0.41468492349129066,0.1729134104812805,-0.2415656958691978,0.05044977168949773,-0.1192139474818567,0.1628126742576661,-0.7990903922683342,-0.6,-0.7,-0.4349015680225833,-0.9651740920580995,-0.9651740920580995,-0.9628162976205112,0.813915573285492,0.8315245955427374,-0.9754481805873715,-0.9754481805873715,-0.6,0.05372998697806882
BAX,-0.07686206713476063,-0.11314976772165015,-0.4767291282094832,0.07045627429404902,-0.5475391275391275,-0.26473496065091773,-0.07171902766168964,0.5456934215264465,-0.37292685154201183,0.2817943634429126,0.19328822063828738,-0.3510739679921686,-0.3576058029543003,0.008445320423627289,0.32702199069403914,0.07171902766168964,0.05542634310459431,-0.4811471854051203,-0.06127282259054029,-0.4795329009190713,0.07119726401644713,0.1378618113177486,0.25043765050575206,0.5456934215264465,0.021215570676230762,0.34594437644887044,-0.011727862339080634,0.28889380656453084,0.14485854021159203,0.4013904024340804,-0.1763615218194085,0.23562221703316438,0.04123056035385002,0.16908200285744168,-0.12623505907049853,0.8860860267705603,0.7,0.7973575557390586,0.2828846936316627,0.4595457952673828,0.4595457952673828,0.44964077234745703,-0.4594273169819534,-0.49549732985371564,0.4883349309604088,0.4883349309604088,0.7,-0.09409033041805184
BAK,-0.07686206713476063,-0.11314976772165015,-0.4767291282094832,0.07045627429404902,-0.5475391275391275,-0.26473496065091773,-0.07171902766168964,0.5456934215264465,-0.37292685154201183,0.2817943634429126,0.19328822063828738,-0.3510739679921686,-0.3576058029543003,0.008445320423627289,0.32702199069403914,0.07171902766168964,0.05542634310459431,-0.4811471854051203,-0.06127282259054029,-0.4795329009190713,0.07119726401644713,0.1378618113177486,0.25043765050575206,0.5456934215264465,0.021215570676230762,0.34594437644887044,-0.011727862339080634,0.28889380656453084,0.14485854021159203,0.4013904024340804,-0.1763615218194085,0.23562221703316438,0.04123056035385002,0.16908200285744168,-0.12623505907049853,0.8860860267705603,0.7,0.7973575557390586,0.2828846936316627,0.4595457952673828,0.4595457952673828,0.44964077234745703,-0.4594273169819534,-0.49549732985371564,0.4883349309604088,0.4883349309604088,0.7,-0.09409033041805184
BAD,-0.02760047281323877,-0.08351543032394096,-0.45492911668484187,0.0333868378812199,-0.4901234567901234,-0.2661455131020348,-0.031578947368421054,0.7983471074380166,-0.3422897317060802,0.25019555533763255,0.17783276895024747,-0.33691795252692075,-0.3222725225916291,0.1269314353953146,0.29650494069149474,0.031578947368421054,0.025216123410349768,-0.46905788708445256,-0.022969187675070026,-0.7,-0.05044977168949773,0.20817927170868344,0.2712576269698433,0.7983471074380166,-0.1496909106485214,0.3009043014423624,-0.06859797897730158,0.25157770571970256,0.12863820372811147,0.3634881149806523,-0.14063630579038272,0.20108084738434934,-0.0815,0.08418876344466182,-0.1519164782550871,0.7,0.5,0.6,0.4130215031927616,0.8873106729121153,0.8873106729121153,0.8859716824396926,-0.9590251736839122,-0.968299962528954,0.891729879828205,0.891729879828205,0.5,-0.03154492566257272
b_catenin_TCF4,0.9,0.9,0,0,0.8,0.8,0.9,0,0,0,0,0,0,0.8,0,-0.9,-0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
